Country_ISO,Control of Corruption: Estimate - WDI,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative) - WDI",FI_FSI_FSANL - Non-performing loans to total gross loans (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSERA - Return on assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKA - Regulatory capital to assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKRTC - Regulatory Tier 1 capital to risk-weighted assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,GC_GOB_TAXD - Proportion of domestic budget funded by domestic taxes (%) - Goal 17 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,GR_G14_GDP - Total government revenue (budgetary central government) as a proportion of GDP (%) - Goal 17 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,Government Effectiveness: Estimate - WDI,High-technology exports (% of manufactured exports) - WDI,ICT goods exports (% of total goods exports) - WDI,ICT goods imports (% total goods imports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",IQ_SPI_PIL4 - Data Sources performance index (Statistical Performance Indicators Pillar 4) (Index) - Goal 17 - Reporting Type: G - Units: INDEX - Nature: G - SDG,Labor force with advanced education (% of total working-age population with advanced education) - WDI,Logistics performance index: Ability to track and trace consignments (1=low to 5=high) - WDI,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high) - WDI,Lower secondary school starting age (years) - WDI,Medium and high-tech exports (% manufactured exports) - WDI,Medium and high-tech manufacturing value added (% manufacturing value added) - WDI,Merchandise exports to high-income economies (% of total merchandise exports) - WDI,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports) - WDI,Merchandise imports from high-income economies (% of total merchandise imports) - WDI,"Primary education, duration (years) - WDI",Primary government expenditures as a proportion of original approved budget (%) - WDI,Primary school starting age (years) - WDI,Regulatory Quality: Estimate - WDI,Rule of Law: Estimate - WDI,"Services, value added (% of GDP) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100) - WDI,Voice and Accountability: Estimate - WDI
DMA,0.5357992649078369,5.209107812843592,17.016617,-0.793551,4.926281,10.843376,61.37530375802445,51.91996223857146,-0.26896673440933216,5.33180863920164,6.649634131070036,4.558286842526295,2.00984497607033,16.9020907268238,79.69234978584642,3.146533764531374,3.056777222826592,12.0,38.555992866645546,25.242401192442284,49.0909360770021,0.24957881485698,80.0925215281522,7.0,79.7003,5.0,0.1253012716770172,0.7044506072998051,55.0281206890453,40972.37656268264,30.000000000000004,46.58307759702038,46.46875,18.50981336641397,35.0,0.7965333461761469
DNK,2.15699577331543,32.3600006103516,1.76025735351403,0.5501006373242379,5.10154666878939,19.787693373340996,87.3875890793168,51.3087606482005,1.8106020689010602,12.3547301877073,3.72,7.01,6.55655045251684,75.9916666666667,76.832,4.18,3.92,13.0,57.683394071044596,57.14080373406791,87.8421594911126,5.92084479377372,86.8397789086296,7.0,104.72684759588321,6.0,1.6283941268920903,1.7732261419296298,65.1569808657312,95134.3587847556,100.0,98.7,69.13125,75.9916666666667,100.0,1.5740221738815299
DOM,-0.830888628959656,9.972081603094848,1.61766972022442,1.2832419925631,9.61033604169124,14.0196040092598,74.868620576453,15.2323176807601,-0.3887355327606199,6.39815706280082,1.7499999999999998,4.96,1.25881703067902,26.933333333333298,83.518,2.9699999999999998,2.41,12.0,53.03606180913513,15.54510312295881,74.9852348634156,1.59605739111629,64.8386791340241,6.0,99.34040000000002,6.0,-0.028536692261695917,-0.3652405440807341,61.067519765139,15757.306789537603,100.0,65.6,63.075,36.9666666666667,50.0,0.12498144805431381
DZA,-0.658903956413269,9.18473761468981,12.6974012595366,1.4689629701649103,9.94951991406034,14.9783526600145,56.984624908475816,25.517811775804105,-0.488536387681961,0.48492359419043196,0.0,1.5344745578132613,4.04677950558738,52.41666666666669,75.08756396627481,2.6,2.13,11.0,3.94875378317932,2.6932622308079894,75.5536820550334,1.90784324248347,43.5714697292457,5.0,95.30659999999999,6.0,-1.34690141677856,-0.8069785237312321,49.4261444653673,16346.8857069869,80.0,60.13333333333329,51.175,58.2833333333334,30.0,-0.9952630400657652
ECU,-0.6295003890991209,11.547282841047675,2.94923401923922,2.3893295412439097,11.7769971865356,14.751914919686,40.5420651819166,32.9998949097028,-0.3177936673164369,5.29990873788448,0.08000000000000002,5.85,1.77896070539731,55.59166666666669,79.215,3.07,2.8000000000000003,12.0,11.5532570491993,16.4519879290778,66.741841211327,13.7131402401498,52.6260347426944,6.0,98.0493,6.0,-0.886888802051544,-0.663264274597168,58.7476436434848,14459.4187559643,100.0,87.7333333333333,78.74375,53.075,45.0,0.0008326754905281248
EGY,-0.5147223472595209,15.968149364539512,5.851171083821864,2.0621677015204787,11.104212732552208,13.854018889243697,60.90962157343965,16.534966450886667,-0.45403629541397117,0.862813543464706,2.4,5.07,3.19169243691063,56.75,70.098,2.72,2.6,12.0,31.898262650393804,31.702962987935496,55.8911212408017,5.19091424434419,60.9876502721229,6.0,102.8552,6.0,-0.804274797439575,-0.3014455735683441,51.6422459388796,14172.7161681375,100.0,76.8,79.175,62.5666666666667,60.0,-1.32450354099274
ERI,-1.32252204418182,7.787603039335239,26.088987067037063,2.2741501344612174,12.694507062675848,30.237693927745095,45.10674092049106,34.77697487037107,-1.76837337017059,12.09567942759763,0.0,1.7713474855503373,3.884296622434878,5.070306344675864,72.19744781802275,2.17,2.13,11.0,14.6746799859189,9.70284713659893,13.7249769264312,84.6435207923512,60.5029840452217,5.0,98.53920950275179,6.0,-2.19343161582947,-1.61951661109924,39.71477488593188,6639.811685523698,16.6,10.105297136935494,37.44375,3.9495795999472656,10.0,-2.18413782119751
ESP,0.6127787828445432,21.9400005340576,3.68642493378735,0.8671704909393371,6.04633140039262,13.739994615975,55.2945757862518,38.5748663257076,0.9692460298538211,6.76693548745416,1.45,4.96,10.034110960445,77.8666666666667,80.124,3.83,3.62,12.0,54.6155446069608,37.8000191932863,82.3132653246297,3.13542344276987,71.0176031264248,6.0,102.3937,6.0,0.9381541609764101,0.9780941009521481,68.1207909749925,60505.1773837979,100.0,90.8666666666666,75.49375,76.2166666666667,95.0,1.02963280677795
EST,1.46850371360779,27.720915241489863,1.55123999961087,1.9115255325375495,12.697421053873498,30.3745600388794,55.0043456977592,38.0473365707536,1.15055811405182,18.2045260067525,8.51,8.48,12.209508076573302,68.9416666666667,81.647,3.21,3.32,13.0,52.5608402048824,25.7835832151799,92.4106108445313,1.58534675217606,90.2203276490212,6.0,95.5577,7.0,1.5448329448699998,1.20345735549927,61.6254146608775,36694.3078131603,100.0,93.9333333333333,70.89999999999999,68.9416666666667,100.0,1.1902028322219802
ETH,-0.5053179264068599,5.3495345150489655,3.56052322049913,3.06362567337989,8.59800738818191,20.9542088445577,52.935599755403004,10.1627075794575,-0.6668942570686341,13.6451525613537,2.42,2.84,1.55801472915228,31.616666666666703,77.08009404392898,2.595194726445746,2.2563598143504904,13.0,41.0055688116489,16.0735929373477,55.03920419725011,18.182077669782,44.4174017278391,6.0,98.93059999999998,7.0,-0.984722435474396,-0.44471761584281894,36.4097339191287,2297.49909512512,90.0,59.9666666666666,71.38125,35.7833333333333,15.0,-1.16189217567444
