,# nans 2010,% nans 2010,# nans 2012,% nans 2012,# nans 2014,% nans 2014,# nans 2016,% nans 2016,# nans 2018,% nans 2018,# nans 2020,% nans 2020,# nans 2022,% nans 2022,# nans 2024,% nans 2024
FSM,13,37.14,13,37.14,11,28.95,12,29.27,14,32.56,10,25.64,19,47.5,3,20.0
GAB,4,11.43,2,5.71,3,7.89,4,9.76,6,13.95,5,12.82,6,15.0,5,33.33
GBR,1,2.86,1,2.86,1,2.63,1,2.44,3,6.98,1,2.56,5,12.5,3,20.0
GEO,0,0.0,0,0.0,0,0.0,0,0.0,1,2.33,0,0.0,1,2.5,0,0.0
GHA,1,2.86,1,2.86,2,5.26,3,7.32,3,6.98,5,12.82,3,7.5,4,26.67
GIN,14,40.0,13,37.14,4,10.53,5,12.2,9,20.93,9,23.08,14,35.0,4,26.67
GMB,4,11.43,2,5.71,6,15.79,6,14.63,1,2.33,3,7.69,4,10.0,0,0.0
GNB,13,37.14,13,37.14,16,42.11,15,36.59,15,34.88,16,41.03,13,32.5,5,33.33
GNQ,9,25.71,9,25.71,10,26.32,11,26.83,12,27.91,8,20.51,10,25.0,5,33.33
GRC,1,2.86,1,2.86,1,2.63,1,2.44,1,2.33,0,0.0,0,0.0,3,20.0
GRD,11,31.43,11,31.43,14,36.84,9,21.95,10,23.26,8,20.51,5,12.5,1,6.67
GTM,0,0.0,0,0.0,0,0.0,0,0.0,2,4.65,1,2.56,1,2.5,0,0.0
GUY,10,28.57,10,28.57,13,34.21,12,29.27,12,27.91,12,30.77,12,30.0,4,26.67
HND,2,5.71,2,5.71,2,5.26,7,17.07,1,2.33,1,2.56,4,10.0,3,20.0
HRV,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
HTI,11,31.43,11,31.43,12,31.58,13,31.71,14,32.56,13,33.33,12,30.0,4,26.67
HUN,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.56,1,2.5,3,20.0
IDN,0,0.0,0,0.0,0,0.0,0,0.0,1,2.33,1,2.56,3,7.5,0,0.0
IND,6,17.14,0,0.0,1,2.63,1,2.44,0,0.0,2,5.13,0,0.0,0,0.0
IRL,2,5.71,2,5.71,2,5.26,0,0.0,1,2.33,0,0.0,1,2.5,3,20.0
IRN,11,31.43,13,37.14,12,31.58,11,26.83,12,27.91,13,33.33,10,25.0,3,20.0
IRQ,11,31.43,12,34.29,10,26.32,4,9.76,5,11.63,7,17.95,6,15.0,4,26.67
ISL,7,20.0,7,20.0,5,13.16,1,2.44,1,2.33,1,2.56,0,0.0,3,20.0
ISR,4,11.43,4,11.43,1,2.63,1,2.44,2,4.65,1,2.56,1,2.5,3,20.0
ITA,0,0.0,0,0.0,1,2.63,0,0.0,1,2.33,0,0.0,1,2.5,0,0.0
JAM,6,17.14,6,17.14,6,15.79,7,17.07,9,20.93,7,17.95,8,20.0,4,26.67
JOR,7,20.0,7,20.0,7,18.42,1,2.44,0,0.0,0,0.0,2,5.0,1,6.67
JPN,6,17.14,6,17.14,7,18.42,7,17.07,8,18.6,7,17.95,9,22.5,3,20.0
KAZ,0,0.0,0,0.0,1,2.63,1,2.44,2,4.65,1,2.56,3,7.5,0,0.0
KEN,1,2.86,4,11.43,5,13.16,1,2.44,4,9.3,2,5.13,6,15.0,3,20.0
KGZ,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.56,3,7.5,1,6.67
KHM,0,0.0,0,0.0,0,0.0,0,0.0,2,4.65,0,0.0,4,10.0,0,0.0
KIR,13,37.14,12,34.29,14,36.84,14,34.15,15,34.88,11,28.21,19,47.5,5,33.33
KNA,13,37.14,12,34.29,15,39.47,10,24.39,17,39.53,8,20.51,11,27.5,2,13.33
KOR,1,2.86,1,2.86,1,2.63,1,2.44,2,4.65,1,2.56,1,2.5,0,0.0
KWT,1,2.86,3,8.57,1,2.63,3,7.32,4,9.3,4,10.26,5,12.5,3,20.0
LAO,9,25.71,8,22.86,10,26.32,8,19.51,11,25.58,9,23.08,10,25.0,1,6.67
LBN,5,14.29,0,0.0,2,5.26,2,4.88,2,4.65,8,20.51,12,30.0,4,26.67
LBR,12,34.29,13,37.14,16,42.11,16,39.02,16,37.21,16,41.03,14,35.0,5,33.33
LBY,11,31.43,11,31.43,14,36.84,11,26.83,13,30.23,13,33.33,15,37.5,5,33.33
LCA,9,25.71,8,22.86,11,28.95,2,4.88,5,11.63,2,5.13,6,15.0,4,26.67
LIE,23,65.71,23,65.71,26,68.42,28,68.29,29,67.44,26,66.67,25,62.5,11,73.33
LKA,6,17.14,0,0.0,0,0.0,2,4.88,4,9.3,0,0.0,0,0.0,0,0.0
LSO,6,17.14,4,11.43,6,15.79,3,7.32,3,6.98,3,7.69,9,22.5,3,20.0
LTU,1,2.86,0,0.0,0,0.0,0,0.0,0,0.0,1,2.56,1,2.5,3,20.0
LUX,0,0.0,0,0.0,2,5.26,0,0.0,1,2.33,0,0.0,2,5.0,0,0.0
LVA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.5,3,20.0
MAR,9,25.71,3,8.57,7,18.42,3,7.32,4,9.3,3,7.69,5,12.5,1,6.67
MCO,25,71.43,24,68.57,28,73.68,27,65.85,30,69.77,26,66.67,26,65.0,7,46.67
MDA,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
MDG,0,0.0,0,0.0,1,2.63,1,2.44,1,2.33,1,2.56,4,10.0,5,33.33
MDV,8,22.86,4,11.43,4,10.53,0,0.0,5,11.63,3,7.69,6,15.0,0,0.0
MEX,0,0.0,0,0.0,0,0.0,0,0.0,1,2.33,0,0.0,1,2.5,3,20.0
MHL,14,40.0,14,40.0,17,44.74,16,39.02,18,41.86,15,38.46,19,47.5,3,20.0
MKD,0,0.0,0,0.0,0,0.0,0,0.0,1,2.33,0,0.0,1,2.5,3,20.0
MLI,8,22.86,10,28.57,11,28.95,9,21.95,9,20.93,12,30.77,11,27.5,5,33.33
MLT,1,2.86,1,2.86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,20.0
MMR,10,28.57,7,20.0,7,18.42,8,19.51,7,16.28,11,28.21,12,30.0,1,6.67
MNE,2,5.71,2,5.71,0,0.0,2,4.88,2,4.65,2,5.13,1,2.5,3,20.0
MNG,10,28.57,9,25.71,6,15.79,7,17.07,7,16.28,8,20.51,9,22.5,1,6.67
MOZ,7,20.0,8,22.86,4,10.53,1,2.44,5,11.63,1,2.56,3,7.5,3,20.0
MRT,15,42.86,12,34.29,13,34.21,13,31.71,15,34.88,13,33.33,13,32.5,0,0.0
MUS,0,0.0,0,0.0,0,0.0,2,4.88,0,0.0,0,0.0,0,0.0,0,0.0
MWI,8,22.86,6,17.14,7,18.42,4,9.76,2,4.65,0,0.0,7,17.5,3,20.0
MYS,0,0.0,0,0.0,0,0.0,1,2.44,2,4.65,2,5.13,4,10.0,0,0.0
NAM,0,0.0,0,0.0,0,0.0,0,0.0,3,6.98,1,2.56,2,5.0,3,20.0
NER,8,22.86,8,22.86,8,21.05,10,24.39,12,27.91,10,25.64,10,25.0,1,6.67
NGA,0,0.0,0,0.0,3,7.89,3,7.32,4,9.3,4,10.26,3,7.5,3,20.0
NIC,0,0.0,3,8.57,0,0.0,1,2.44,5,11.63,1,2.56,3,7.5,3,20.0
NLD,2,5.71,2,5.71,1,2.63,2,4.88,4,9.3,1,2.56,2,5.0,0,0.0
NOR,1,2.86,2,5.71,2,5.26,3,7.32,2,4.65,2,5.13,0,0.0,3,20.0
NPL,6,17.14,6,17.14,7,18.42,2,4.88,2,4.65,1,2.56,6,15.0,1,6.67
NRU,20,57.14,20,57.14,21,55.26,23,56.1,25,58.14,21,53.85,21,52.5,5,33.33
NZL,7,20.0,7,20.0,7,18.42,8,19.51,9,20.93,8,20.51,10,25.0,6,40.0
OMN,7,20.0,6,17.14,11,28.95,10,24.39,10,23.26,11,28.21,10,25.0,1,6.67
PAK,4,11.43,4,11.43,0,0.0,2,4.88,3,6.98,2,5.13,6,15.0,0,0.0
PAN,2,5.71,2,5.71,0,0.0,1,2.44,2,4.65,1,2.56,2,5.0,0,0.0
PER,0,0.0,0,0.0,0,0.0,0,0.0,1,2.33,0,0.0,3,7.5,3,20.0
