Country_ISO,High-technology exports (% of manufactured exports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",Lower secondary school starting age (years) - WDI,"Primary education, duration (years) - WDI",Primary school starting age (years) - WDI,SG_NHR_IMPL - Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%) - Goal 16 - Reporting Type: G - Units: PERCENT - Nature: G - SDG,SG_STT_ODIN - Open Data Inventory (ODIN) Coverage Index - Goal 17 - Reporting Type: G - Units: INDEX - Nature: E - SDG,"Services, value added (% of GDP) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100) - WDI
SSD,0.0,2.5069812581909234,12.0,6.0,6.0,0.0,13.1,45.79694320524922,1090.37546805933,20.0,8.33333333333333,57.5375,9.74166666666667,40.0
STP,9.46491003155026,0.55940196327957,12.0,6.0,6.0,0.0,51.1,80.3417493068885,11363.1925124374,60.00000000000001,65.6666666666667,55.59375,48.5916666666667,35.0
SUR,10.3729916697731,10.5737537372566,12.0,6.0,6.0,0.0,54.8,50.8458681480381,18104.1482661614,46.6,72.6333333333333,60.87500000000001,58.01666666666669,55.0
SVK,10.5935553645599,16.371276189484,11.999999368240458,5.999998568390899,6.00000080600525,0.0,63.9,59.9609861243037,41047.8819809104,90.0,95.1,81.55625,79.6,70.0
SVN,8.34338034336379,8.66604534266777,12.000000048451996,5.999999557038274,6.000000499750774,100.0,73.8,57.939438265241705,47483.713542094796,100.0,98.5333333333333,88.025,83.87499999999999,85.0
SWE,17.6524551082203,20.7361395342545,11.999999296105317,5.999998806896094,6.000000489537053,100.0,78.0,66.4283744913472,90677.8734519826,100.0,95.4,89.18125,88.72499999999998,90.0
SWZ,4.658114154439742,2.56154253680204,12.000000488712057,6.000000578060682,5.999999914640048,0.0,29.4,51.3633744946129,15136.4746580301,80.0,62.53333333333331,76.125,31.1666666666667,55.0
SYC,0.0899054165105232,0.614524305818193,12.0,6.0,6.0,0.0,48.6,65.7655757027886,28012.976069807995,90.0,48.0,56.66875000000001,58.0,70.0
SYR,0.0,3.2999082219098668,12.0,6.0,6.0,0.0,27.4,43.556380315945674,1090.37546805933,26.6,26.4333333333333,57.8875,11.1666666666667,40.0
TCD,2.8042388145340333,5.91538156677429,12.0,6.0,6.0,0.0,46.2,29.7810046845,3818.1695183524703,63.4,66.7333333333333,62.95625,24.7416666666667,50.0
TGO,0.681948279595617,8.66563350546885,12.0,6.0,6.0,100.0,55.3,49.160730242496,3036.9480674834303,80.0,68.0333333333333,76.14375,43.58333333333331,65.0
THA,28.3057768762254,0.72117334961778,12.0,6.0,6.0,100.0,63.8,59.1528957274226,14093.6152766615,100.0,87.9333333333333,84.7375,67.525,85.0
TJK,5.518050984637943,1.03560271234297,11.0,4.0,7.0,0.0,54.099999999999994,52.528162810802726,3678.0461771742544,80.0,68.9666666666667,65.51875,59.85833333333329,45.0
