Country_ISO,High-technology exports (% of manufactured exports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",Lower secondary school starting age (years) - WDI,"Primary education, duration (years) - WDI",Primary school starting age (years) - WDI,SG_NHR_IMPL - Proportion of countries with independent National Human Rights Institutions in compliance with the Paris Principles (%) - Goal 16 - Reporting Type: G - Units: PERCENT - Nature: G - SDG,SG_STT_ODIN - Open Data Inventory (ODIN) Coverage Index - Goal 17 - Reporting Type: G - Units: INDEX - Nature: E - SDG,"Services, value added (% of GDP) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100) - WDI
GTM,5.39604303984542,11.9639534767402,13.0,6.0,7.0,100.0,56.6,61.839861654601,14989.5533836265,90.0,68.1,79.2125,69.4666666666667,90.0
GUY,13.3341087055182,6.52463724264661,12.00000020433303,5.99999944446233,6.000000774320564,0.0,46.1,14.4608458483035,17337.2260606558,60.00000000000001,66.8333333333333,64.75,33.7083333333333,45.0
HND,3.87334759570957,2.20095833422763,12.000000578633102,5.99999989074145,6.000000705138111,100.0,51.4,58.4090033001636,8330.22930960826,90.0,66.0,75.4625,36.95,60.00000000000001
HRV,11.6739199311189,7.68350505258354,11.0,4.0,7.0,100.0,57.5,60.8374324880176,36175.9065261077,100.0,87.5333333333333,81.76875,75.95,80.0
HTI,0.0,2.07111744478863,11.999999466901315,6.000000313953882,5.999999133878744,100.0,25.900000000000002,48.3129615585975,3821.71769289384,40.0,24.9666666666667,56.21249999999999,17.5416666666667,55.0
HUN,20.0996259812318,11.1075832784513,11.999999414654873,5.999998633641006,6.000000787379716,0.0,68.4,59.5231534203363,30633.0973072563,90.0,95.5333333333333,89.7,84.12499999999999,80.0
IDN,8.71104390371756,9.63845595825658,13.0,6.0,7.0,100.0,71.0,43.7719167888796,8214.62503294235,100.0,91.8666666666666,86.13125,58.725,75.0
IND,18.5723946411049,47.4142244922242,11.0,5.0,6.0,100.0,52.2,49.874440225505,9061.78668364177,80.0,85.1333333333333,79.275,74.18333333333328,50.0
IRL,53.5184328432158,57.3696073257846,11.999997500767659,5.999997320753346,6.000000156633948,100.0,59.9,60.563564363186295,137197.990629375,100.0,97.1333333333333,80.93125,78.525,85.0
IRN,9.505732250025256,7.928364613340124,12.0,6.0,6.0,0.0,53.98979109897502,49.7874655706935,19667.8225847376,66.6,62.8,68.2875,69.89999999999999,50.0
IRQ,3.73723252506599,0.905411893819878,12.00000066953774,6.0000014483258965,5.999999215800624,100.0,41.2,45.76618170304,16288.5248083482,60.00000000000001,66.2666666666667,66.525,37.125,40.0
ISL,53.9722930663779,7.46882100236492,11.999997780890407,5.9999984200817496,5.999999327415294,0.0,56.0,64.8920846344191,83853.0258723633,100.0,62.8333333333333,76.64375,77.875,90.0
ISR,37.2335173751738,63.961714871638,11.99999619543885,5.99999435362945,6.000001831357196,0.0,63.2,72.5367368776929,75885.5952962538,100.0,94.2,78.14375,84.12499999999999,95.0
ITA,11.629880473073,5.94784342686848,11.0,5.0,6.0,0.0,72.89999999999999,65.0483624576143,81046.2630490302,100.0,92.7,88.80625,88.15,85.0
JAM,10.301060592975062,2.42703444865298,11.999999727806763,5.999999423892715,6.000000306198091,0.0,47.8,59.95832658230939,10027.3204924715,100.0,73.6,79.53125,59.20833333333329,55.0
JOR,12.5224865951794,0.509793399517038,12.0,6.0,6.0,100.0,62.1,60.3920761551012,13103.254683878298,80.0,93.5666666666667,78.8,71.69999999999999,70.0
JPN,17.5547415163067,4.83083371130081,12.0,6.0,6.0,0.0,66.5,62.44800982020588,52334.15076864469,100.0,91.8333333333333,84.75625,83.375,95.0
KAZ,42.19530029659,7.23521044258558,10.0,4.0,6.0,0.0,74.4,57.9427973400804,20435.7278266104,100.0,90.1333333333333,79.175,80.1583333333333,75.0
KEN,3.15003013612034,10.6089745270793,11.999999994046492,5.999998626808172,6.000001389186318,100.0,60.6,55.303535805589604,6891.279040814151,90.0,70.6,80.925,45.25,80.0
KGZ,10.6711117431705,11.503739943475301,11.0,4.0,7.0,0.0,66.6,52.1398197179977,3144.26324120035,100.0,50.8666666666667,84.00625,70.8666666666667,90.0
KHM,5.26214140574212,6.32032986261647,12.0,6.0,6.0,0.0,40.1,35.5947222438947,3670.63763707546,60.00000000000001,64.2666666666667,79.21875,46.5833333333333,65.0
KIR,3.9358228281465637,5.633237653322368,12.0,6.0,6.0,0.0,36.29999999999999,50.98479871857244,10001.785226281709,50.0,63.06666666666669,60.224999999999994,31.9166666666667,45.0
KNA,7.577526358153897,0.851748625230278,12.0,6.999999999999999,5.0,0.0,34.3,66.1311026415219,26837.211005394754,60.00000000000001,30.5,44.2375,43.55833333333331,35.0
KOR,36.2582559366674,10.4431220120228,12.0,6.0,6.0,100.0,58.2,57.5005082410932,53197.1974748202,100.0,96.1,87.7125,79.02499999999999,95.0
KWT,5.82777648932315,44.7811307481639,11.999997534689447,5.999996312159406,6.000001216191263,0.0,46.8,55.8544139729526,37716.228321813,60.00000000000001,68.8666666666667,65.69375,62.31666666666669,60.00000000000001
LAO,6.408332172592265,3.50871084727488,11.0,5.0,6.0,0.0,38.9,43.534650358474,10173.5757487928,90.0,67.4,67.38125,44.425000000000004,35.0
LBN,2.89591276881506,6.336885313723652,12.0,6.0,6.0,0.0,26.6,58.94282100083222,16001.840854336011,80.0,62.8,63.14375,48.125,35.0
LBR,3.169681726253163,7.673466744021342,12.00000011340027,6.000000385855811,5.99999972451293,100.0,31.900000000000002,41.926922826725594,1090.37546805933,60.00000000000001,59.9333333333333,71.625,44.05,60.00000000000001
LBY,0.0,3.5118411510141896,12.000001457600575,6.000001161759012,6.000000315734788,0.0,28.2,28.3399914639351,17761.7504682448,20.0,59.3333333333333,53.75625,10.6666666666667,30.000000000000004
LCA,11.194881590605782,0.746477376218228,11.999999528012133,5.999999261501831,6.000000265777588,0.0,51.0,75.898187714585,21688.896762823,80.0,68.1333333333333,63.35625000000001,54.38333333333328,55.0
LIE,4.263614948864062,5.210633322400385,11.999998866897512,5.999998352112991,6.000000510884632,0.0,52.1,55.86437831393229,14249.260441224498,40.0,48.29175602094778,39.7875,35.356480976416705,39.66449588813762
LKA,1.53793971540437,14.0586358995322,10.0,5.0,5.0,100.0,53.7,57.46951134715519,14339.014045562903,90.0,81.5333333333333,77.275,64.06666666666669,60.00000000000001
LSO,0.08958324969678322,0.0992138221847883,11.999998669070715,5.999998074871514,6.000000590092045,0.0,42.6,48.0439628685052,4740.40542221152,80.0,31.4666666666667,71.03125,53.699999999999996,55.0
LTU,17.3245400755804,11.6581459440453,11.999999604893242,5.999998904950974,6.000000707015746,100.0,72.1,63.5886178536833,33001.8418168154,100.0,92.0,89.30625,80.5,85.0
LUX,5.0736120319212,3.80366321182967,12.0,6.0,6.0,100.0,54.099999999999994,81.1809383770858,187154.392595032,100.0,91.5333333333333,78.33125,74.22499999999998,85.0
LVA,17.4901914812882,17.4837010008582,11.99999930986555,5.999998879315806,6.000000430195115,100.0,64.6,64.6029356314433,31922.8116952536,100.0,96.80000000000001,81.80625,76.79999999999998,85.0
MAR,11.770880669498839,9.33576024893184,12.0,6.0,6.0,100.0,65.3,52.72686167764379,13739.401698279698,60.00000000000001,95.8,77.675,61.86666666666669,70.0
MCO,5.756815225266657,6.257428954496227,11.0,5.0,6.0,0.0,25.1,87.2030353147193,22219.12030641216,60.00000000000001,36.673646963469096,41.11875,36.13020795662615,35.72409229348383
MDA,2.92514721596985,26.735615356763,11.0,4.0,7.0,100.0,67.4,62.2659566789328,10564.7015976979,100.0,96.0,79.4625,67.9083333333333,85.0
MDG,3.7519803957891256,7.440792099390178,12.000000432918027,6.000000812720552,5.999999618881258,100.0,31.0,47.71761506144669,2166.83345862491,70.0,61.76666666666671,73.46875,37.25,45.0
MDV,0.0022705678515537,0.932229047620223,12.0,6.0,6.0,0.0,56.2,72.0973260767818,26910.1672314172,70.0,66.5666666666667,62.9375,62.3666666666667,60.00000000000001
MEX,19.3033812138817,3.85322686953104,11.999999836014918,5.999999467596031,6.000000372655226,100.0,72.0,58.1037604498508,22319.9025504799,100.0,93.2333333333333,92.21875,89.3,80.0
MHL,5.022010766086812,5.335949676625379,12.0,6.0,6.0,0.0,37.8,66.9908120927035,22494.18747527954,30.000000000000004,62.3333333333333,59.26875,36.1,30.000000000000004
MKD,6.3599119716616,21.6117320275475,11.999998048053131,5.999996236103715,6.000001820482103,0.0,70.2,56.2488933827217,17173.4205452265,100.0,88.2333333333333,72.23125,80.4,95.0
MLI,6.681889299353966,8.650628736852855,11.999999984639983,5.9999993832401435,6.000000611187159,100.0,45.7,36.314957700289,3994.78575672184,100.0,70.6666666666667,68.5375,43.324999999999996,50.0
MLT,45.179167089137,1.79151712619917,11.999998876199305,5.999999632801548,5.99999921941261,0.0,52.7,81.772969602807,62595.60999591759,100.0,89.3,68.4125,86.52499999999999,75.0
MMR,5.19991999790977,9.179551903967214,10.0,5.0,5.0,0.0,51.800000000000004,41.3534526849189,3053.63614560478,70.0,70.4666666666667,70.13125,52.00833333333329,60.00000000000001
MNE,14.462266281372901,7.50920174267315,11.999998839458147,5.999998616092697,6.00000021488314,0.0,44.8,63.7695853263977,17278.3926675516,90.0,71.3333333333333,69.41875,68.7083333333333,70.0
MNG,14.47246457759299,3.85199323534365,11.0,5.0,6.0,100.0,76.6,44.3407185995683,12279.0523457016,90.0,96.3333333333333,81.375,80.9583333333333,70.0
MOZ,3.6302648420798995,0.794844807336679,12.000000016578669,5.999999222677671,6.00000080707335,0.0,49.8,41.0964463998045,3069.41839007324,90.0,66.6666666666667,76.2375,45.7833333333333,55.0
MRT,9.44834081238425,1.23328853474367,12.0,6.0,6.0,100.0,42.99999999999999,42.4294833153804,7453.22939998586,80.0,63.9,62.8,25.5416666666667,60.00000000000001
MUS,1.21703538647261,4.07725576997817,11.0,6.0,5.0,100.0,54.4,64.3722524144138,22835.7091536426,90.0,87.3,77.58125,67.325,80.0
MWI,1.64552794448662,31.7026053523627,11.999998775015891,5.999998104168119,6.000000669025088,100.0,35.9,44.2065590810766,3109.0565836101496,80.0,63.2666666666667,74.06875,49.3833333333333,55.0
MYS,58.6276748543331,8.65874213939162,12.0,6.0,6.0,100.0,78.8,53.7203005018668,21024.2013651067,80.0,99.6666666666667,80.13125,80.1583333333333,85.0
NAM,0.117288080576373,2.01770683771638,12.00000100035599,6.000001751563075,5.999999247137672,100.0,31.399999999999995,54.4586091697762,12784.325264290203,40.0,66.6333333333333,69.4625,37.225,65.0
NER,8.61766309210248,7.511398728345957,13.0,6.0,7.0,0.0,51.5,45.0285833612677,2672.52313103497,90.0,76.3666666666666,75.19375,40.7666666666667,70.0
NGA,2.71167186435579,4.03817725408015,12.00000044322102,5.999999908113675,6.000000548577081,100.0,47.7,53.729561736527,5935.93603178776,100.0,70.9666666666667,74.8625,39.7583333333333,60.00000000000001
NIC,0.596452227371355,19.4358250658517,11.999999156764728,5.9999979074771295,6.000001260463121,0.0,46.7,46.82840693825441,4575.39153117372,60.00000000000001,63.2,62.943749999999994,37.875,55.0
