Country_ISO,Control of Corruption: Estimate - WDI,FI_FSI_FSANL - Non-performing loans to total gross loans (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKA - Regulatory capital to assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKRTC - Regulatory Tier 1 capital to risk-weighted assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,GC_GOB_TAXD - Proportion of domestic budget funded by domestic taxes (%) - Goal 17 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,GR_G14_GDP - Total government revenue (budgetary central government) as a proportion of GDP (%) - Goal 17 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,Government Effectiveness: Estimate - WDI,High-technology exports (% of manufactured exports) - WDI,ICT goods exports (% of total goods exports) - WDI,ICT goods imports (% total goods imports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",IQ_SPI_PIL4 - Data Sources performance index (Statistical Performance Indicators Pillar 4) (Index) - Goal 17 - Reporting Type: G - Units: INDEX - Nature: G - SDG,Labor force with advanced education (% of total working-age population with advanced education) - WDI,Logistics performance index: Ability to track and trace consignments (1=low to 5=high) - WDI,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high) - WDI,Lower secondary school starting age (years) - WDI,Medium and high-tech exports (% manufactured exports) - WDI,Medium and high-tech manufacturing value added (% manufacturing value added) - WDI,Merchandise exports to high-income economies (% of total merchandise exports) - WDI,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports) - WDI,Merchandise imports from high-income economies (% of total merchandise imports) - WDI,"Primary education, duration (years) - WDI",Primary school starting age (years) - WDI,Regulatory Quality: Estimate - WDI,Rule of Law: Estimate - WDI,"Services, value added (% of GDP) - WDI","Services, value added (annual % growth) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100) - WDI,Voice and Accountability: Estimate - WDI
NIC,-0.897035598754883,0.860695208457364,7.504997348547289,8.81009588806565,84.6330213924742,18.5157146929721,-0.737571179866791,0.798662569451357,0.07,4.68,12.9402481887956,26.275,79.04207305531285,2.473305,2.480624,12.0,26.746118245132905,14.5515723434659,63.6446150840493,0.536636575932324,33.7958599827436,6.0,6.0,-0.528951227664948,-0.656879246234894,49.4649749753047,5.37362286856209,4740.22612888251,90.0,12.7,66.93125,41.3083333333333,30.0,-0.6805120706558229
NLD,1.8583507537841797,2.54052744825368,5.45629052490244,17.7401605077584,54.3707007880242,42.9799657507655,1.8202861547470097,24.0087404866077,10.74,13.27,9.79046565995067,65.7916666666667,79.223,4.171777,4.122913,12.0,55.6787976243456,47.4385566047,90.476005409904,3.00120271382123,71.0767404489452,6.0,6.0,1.9648460149764997,1.84564888477325,70.6379699378623,2.0387817783275803,77075.2363596552,80.0,61.6666666666667,63.2625,65.7916666666667,100.0,1.54080605506897
NOR,2.14950466156006,1.18473037859688,9.418886782400602,19.6996226282728,55.96701949860741,54.4408519159766,1.8323664665222201,20.9563395259628,1.11,6.88,6.730940920967309,75.4166666666667,84.522,3.823581,3.5672359999999994,13.0,55.0995437819502,29.781641155090796,91.1803454587657,3.8721715139410002,80.5983931815254,7.0,6.0,1.6863489151000999,1.99445748329163,57.9316984565321,1.2924349752356104,103451.823685616,100.0,62.599999999999994,66.09375,75.4166666666667,90.0,1.66545379161835
NPL,-0.826784908771515,1.68433659406825,9.61031068522986,11.4241400080771,85.3470393115118,20.0920823781152,-0.893620848655701,0.822614406932481,0.04,5.29,23.9711672868539,42.17499999999999,77.67969099555381,2.466667,1.933333,10.0,18.0228904686736,10.5153149894647,35.9709896129263,3.65390973750563,11.3484486821247,5.0,5.0,-0.7893275022506709,-0.81232476234436,51.59804408781321,1.1867355470612304,4129.81674046547,60.00000000000001,42.7666666666667,67.9,45.475,25.0,-0.2517491281032559
NRU,0.5820537209510801,17.330270174955213,12.524625776838231,29.630639931803742,27.3691524791463,99.7426541943969,-0.08389493823051442,12.518190905855786,0.0,0.2879541623734737,4.030627646091846,23.51976441390665,76.69244228905549,1.9375208065206466,2.1108092353598296,12.0,25.57593452091039,19.030570760022126,95.1974745344411,1.68459340497697,85.2444161612754,6.0,6.0,-0.604751825332642,-0.550933063030243,67.9129758967529,1.8116670001711006,25686.618469041805,70.0,4.143902157321379,34.74375,26.846508061869805,0.0,0.5078352093696591
NZL,2.23673152923584,0.469220791445101,7.466358667149448,13.557032314830737,83.8382255457436,36.315484804631,1.8059014081955003,10.8777020288641,1.03,7.519999999999999,4.53898576370548,65.8416666666667,83.57,3.581269,3.180074,11.0,18.8010646953595,19.6848207157485,60.8642816764804,29.538844470086698,64.971915378363,6.0,5.0,2.02746391296387,1.9136335849762,65.6042584677909,4.094881716795291,66898.5067097032,100.0,91.7666666666667,62.20625,65.84166666666668,75.0,1.5338621139526403
OMN,0.3052574098110202,13.080207485892155,11.853230943709251,20.238284166152496,51.26740723457166,25.245165882411982,0.13854584097862221,1.52100556342923,0.030000000000000002,3.66,3.16019075647008,49.25000000000001,76.33700039667391,3.0944270000000005,2.7647059999999994,12.0,36.0124547854129,21.4417456439226,53.3480494687415,11.7250289250177,78.0332082431128,6.0,6.0,0.5976413488388064,0.38340085744857794,53.33264098037179,3.2541086418164697,32321.1152351013,70.0,17.0,43.3,40.9166666666667,35.0,-1.05420088768005
PAK,-0.90090936422348,10.055842933819,6.29532787457238,13.0788276604481,56.01288303893011,13.179708048468886,-0.700057625770569,1.95739155772638,0.3,4.95,17.2898300348312,38.45,57.215999999999994,2.914099,2.6616199999999997,10.0,9.07403873572274,22.9039928454796,64.9486734557117,11.438618911462,49.3381711307662,5.0,5.0,-0.662416398525238,-0.8155201673507689,52.747401539414,5.0325546154756,7129.06134680526,100.0,43.0666666666667,64.75,41.8,35.0,-0.6995564103126529
PAN,-0.5739663243293761,2.51764775642036,11.449679519721,16.3027350210569,62.11381108934529,13.2416454218213,0.15362143516540477,1.15654400726274,8.62,6.92,2.45178528759091,62.4416666666667,82.129,2.952861,3.1333330000000004,12.0,6.46525807510075,8.19968461501993,63.8805433431478,10.4330688353242,58.556519647828,6.0,6.0,0.46831378340721114,0.03368396311998377,65.8250969681256,3.84346591387974,31972.943367106,100.0,13.3666666666667,68.8625,67.44166666666669,25.0,0.523992538452148
PER,-0.43034815788269,3.0369167312878496,9.48063958668967,11.011998306294,67.4774580308355,19.0020857515881,-0.2562821507453921,4.79971259913924,0.09999999999999999,9.69,1.9083113935170397,54.39999999999999,86.634,2.942091,2.755978,12.0,5.68293667288798,15.323112525311,58.92452141211021,24.3210355991355,48.3619769099836,6.0,6.0,0.4693261981010439,-0.49603629112243697,54.306373018274805,4.06772678253353,11241.346150661502,90.0,76.1333333333333,70.61875,47.716666666666704,30.0,0.2688959538936609
