Country_ISO,Control of Corruption: Estimate - WDI,FI_FSI_FSANL - Non-performing loans to total gross loans (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSERA - Return on assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSKRTC - Regulatory Tier 1 capital to risk-weighted assets (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,FI_FSI_FSLS - Liquid assets to short term liabilities (%) - Goal 10 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,GC_GOB_TAXD - Proportion of domestic budget funded by domestic taxes (%) - Goal 17 - Reporting Type: G - Observation Status: A - Units: PERCENT - Nature: C - SDG,Government Effectiveness: Estimate - WDI,High-technology exports (% of manufactured exports) - WDI,ICT goods exports (% of total goods exports) - WDI,ICT goods imports (% total goods imports) - WDI,"ICT service exports (% of service exports, BoP) - WDI",IQ_SPI_PIL4 - Data Sources performance index (Statistical Performance Indicators Pillar 4) (Index) - Goal 17 - Reporting Type: G - Units: INDEX - Nature: G - SDG,Labor force with advanced education (% of total working-age population with advanced education) - WDI,Lower secondary school starting age (years) - WDI,Medium and high-tech exports (% manufactured exports) - WDI,Medium and high-tech manufacturing value added (% manufacturing value added) - WDI,Merchandise exports to high-income economies (% of total merchandise exports) - WDI,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports) - WDI,Merchandise imports from high-income economies (% of total merchandise imports) - WDI,"Primary education, duration (years) - WDI",Primary school starting age (years) - WDI,Regulatory Quality: Estimate - WDI,Rule of Law: Estimate - WDI,"Services, value added (% of GDP) - WDI","Services, value added (annual % growth) - WDI","Services, value added per worker (constant 2015 US$) - WDI",Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100) - WDI,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100) - WDI,Voice and Accountability: Estimate - WDI
NOR,2.06576919555664,0.736074194281787,1.1143308104166598,22.0244158937396,18.8738267675057,48.8885209825476,1.88777232170105,22.0688842926826,1.38,6.81,9.44813197263866,78.9416666666667,83.584,13.0,49.2130089956502,30.8139188168409,85.3681897785448,9.0549378110534,77.2079757372528,7.0,6.0,1.69426965713501,1.9299217462539702,59.6041108454966,-3.1952711413026385,102952.095521265,100.0,94.3,79.1,78.9416666666667,100.0,1.7202271223068197
NPL,-0.598485827445984,1.67721669787426,1.8544892661920103,11.333160780601,32.0239803479202,69.3575518780102,-0.985120117664337,2.44880014385554,0.030000000000000002,5.12,15.876210944059999,46.85,72.96563160630988,10.0,9.80757148448447,10.5008530528714,22.9332404011305,1.29538678013392,11.711164854704,5.0,5.0,-0.735240161418915,-0.5134865641593929,53.9388467411715,-4.5306888512502885,4836.51968198785,70.0,62.7,77.0,45.15,20.0,-0.0857139304280279
NRU,0.599220514297485,13.063311038987983,1.1189454268938126,39.59499718021111,73.35552158144876,35.9616083700702,0.14249128103256198,7.95465169089864,1.0255852526012001,0.65,5.541895553810764,14.901185539067523,77.0022994348214,12.0,34.873235577113654,20.877896893217606,11.7109003127499,82.0317609948965,95.7507687902061,6.0,6.0,-0.0838676467537881,-0.10371780395507814,61.76899157207776,-6.662333104558298,36040.45937662464,60.00000000000001,41.36443252188772,46.39375,24.015020103829247,5.0,0.5313925147056578
NZL,2.11690759658813,0.12803046468493,0.7696450015247306,16.485627814085813,45.628741398858885,72.8335112203872,1.53874325752258,9.60874974217951,1.0,8.21,8.046268825424,66.6416666666667,83.41999999999999,11.0,19.6400013748738,22.1248280495217,55.1256828416654,38.0314360392266,61.633642072577295,6.0,5.0,1.87444794178009,1.83839273452759,66.2725568029613,-0.1534901374397906,66923.9171445046,100.0,93.6333333333333,71.43125,68.2916666666667,84.99999999999999,1.5974744558334402
OMN,0.20332708954811113,13.573909707044267,0.8762836257989881,13.652205498696949,77.7888059062486,44.12779309005977,0.10450360178947403,8.4956048791117,0.8100000000000002,6.140000000000001,10.5038703402509,68.875,74.22739361219965,10.0,38.1330759959046,45.022188911769,67.2132016943115,8.83709289988757,71.7895303985668,4.0,6.0,0.44436466693878224,0.5933856368064881,55.0241201622629,-8.610625853341531,29558.693998245297,70.0,47.7333333333333,54.23125,58.8916666666667,45.0,-1.14353907108307
PAK,-0.8574382662773131,9.18579121790452,1.76126082633061,14.8458806149328,102.42097066173,57.6974255503282,-0.571128666400909,1.88781249603383,0.09,6.500000000000001,31.824512663967603,44.70833333333331,63.016,10.0,11.1339658179912,22.9039928455251,69.6540672600906,12.071954528483301,47.9914910244489,5.0,5.0,-0.7647659182548521,-0.712938487529755,53.680280706041,-1.20898813699617,7369.61414769768,100.0,61.8666666666667,80.49375,42.1916666666667,30.0,-0.877737641334534
PAN,-0.584161520004272,2.01340176207336,0.6675007370566199,17.0531095674582,28.535836430184,40.565854660267895,0.16464735567569683,0.743662485653838,17.82,11.49,5.16452028319846,74.025,80.542,12.0,7.69159262154139,8.32471932228492,54.1844495585785,25.668001168555,55.084045106885,6.0,6.0,0.32271137833595287,-0.2849550247192379,71.0034450721902,-10.862555675862598,32767.306826394695,100.0,65.9333333333333,76.51875,65.6916666666667,30.0,0.5739753246307371
PER,-0.524636924266815,4.12760856551142,0.4407890061384048,11.785915528179002,50.2901596634606,49.6883414145771,-0.294280052185059,4.79483390340119,0.07,9.26,3.86247607473974,50.0583333333333,78.344,12.0,6.26397505150601,13.4578207957062,57.12730540018819,29.769526873887,46.885334103476104,6.0,6.0,0.47126418352127125,-0.38284352421760603,54.1910600001421,-10.8468062549695,12821.0190104828,90.0,86.3333333333333,84.00625,45.8916666666667,35.0,0.24640527367591888
PHL,-0.510658323764801,3.5324621315646,1.0859538531837798,15.305358420751999,53.531654398064404,59.73600748789809,0.06781238317489643,67.0450915850689,50.86,24.56,18.6338386370801,85.175,80.004337141641,12.0,81.1829358082626,34.0397090631579,72.0561098033387,25.0926283728786,53.0926127697535,6.0,6.0,0.11315667629241886,-0.6520701050758358,61.4147713831863,-9.12720794033703,9203.2233225518,100.0,93.7666666666667,78.46875,83.525,40.0,-0.10620424151420611
PLW,0.599220514297485,11.217425146613186,0.937809486206011,21.785813222365316,60.344350790176264,30.7274373679445,0.385807752609253,6.138003124017735,2.088196824807973,3.307102612740583,0.259669013440614,44.4833333333333,79.044,12.0,46.06944990769198,26.17187259128247,75.0815617229188,3.5918685306837705,84.0528299856585,6.0,6.0,0.5474889278411871,0.6850128173828121,75.8179927741185,-6.329006694553611,44343.9934019427,70.0,57.8666666666667,47.46875,52.8166666666667,40.0,1.0778075456619303
